tx_hash,sending_wallet,receiving_wallet,transaction_amount,coin_type,date_sent,time_sent,sending_wallet_source,receiving_wallet_source,input_addresses,output_addresses,total_input_value,total_output_value,fee
3542ee21b3262b5a454d2552a6061456b4e2ca654138e4c1eebf0cabbdf2a98c,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,3EVPpa2QtzsyEXQEo5PWFebVsQ7xUsbsXm,0.23301216,BTC,2020-09-03,00:13:56,Hacker DB,Blockchain.info,"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms']",['3EVPpa2QtzsyEXQEo5PWFebVsQ7xUsbsXm'],0.23394495,0.23301216,0.00093279
3fc5f8ac95a01bcedf7f48391b5f034efd9c0b41ca8f8946fc1739c80eb456f0,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,0.00959838,BTC,2020-09-02,04:43:27,Hacker DB,Blockchain.info,['3G665WeoFkTa4oWQ8evi3XD2ze3vjb9Xmk'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', 'bc1q4nnkn73g6e40nh9hxsd42k66zx2y4xfagau0ll', '36pmT35PPnJTCbw2JRi24dhhp6EC1JWset']",0.0877065,0.0872725,0.000434
3fc5f8ac95a01bcedf7f48391b5f034efd9c0b41ca8f8946fc1739c80eb456f0,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,bc1q4nnkn73g6e40nh9hxsd42k66zx2y4xfagau0ll,0.009598,BTC,2020-09-02,04:43:27,Hacker DB,Blockchain.info,['3G665WeoFkTa4oWQ8evi3XD2ze3vjb9Xmk'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', 'bc1q4nnkn73g6e40nh9hxsd42k66zx2y4xfagau0ll', '36pmT35PPnJTCbw2JRi24dhhp6EC1JWset']",0.0877065,0.0872725,0.000434
3fc5f8ac95a01bcedf7f48391b5f034efd9c0b41ca8f8946fc1739c80eb456f0,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,36pmT35PPnJTCbw2JRi24dhhp6EC1JWset,0.06807612,BTC,2020-09-02,04:43:27,Hacker DB,Blockchain.info,['3G665WeoFkTa4oWQ8evi3XD2ze3vjb9Xmk'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', 'bc1q4nnkn73g6e40nh9hxsd42k66zx2y4xfagau0ll', '36pmT35PPnJTCbw2JRi24dhhp6EC1JWset']",0.0877065,0.0872725,0.000434
9fc484bd83b0816db09303c7cc1041e27a8434ae93a020381a26601ec691cf09,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,0.0466,BTC,2020-09-01,23:29:26,Hacker DB,Blockchain.info,['1KdN9vzBdYHZHc4BA8RNFAf6jPj7oMEyBX'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '1B789kQLBTntW4y3t4UhwhF1RheafgHCUJ']",0.28730332,0.28707832,0.000225
9fc484bd83b0816db09303c7cc1041e27a8434ae93a020381a26601ec691cf09,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,1B789kQLBTntW4y3t4UhwhF1RheafgHCUJ,0.24047832,BTC,2020-09-01,23:29:26,Hacker DB,Blockchain.info,['1KdN9vzBdYHZHc4BA8RNFAf6jPj7oMEyBX'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '1B789kQLBTntW4y3t4UhwhF1RheafgHCUJ']",0.28730332,0.28707832,0.000225
a6106590d2e01db2bc60705bdaea4383ae0bf3f354f11d2a524004fcd1d43af4,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,0.12097732,BTC,2020-09-01,16:15:00,Hacker DB,Blockchain.info,['1HKoqHFMgtsZhGDXveVaAWJYEBgf1wpKBQ'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '344cujmc42BPS1apBCfZzvbrLPzPdvpbEM']",0.269862,0.2695509,0.0003111
a6106590d2e01db2bc60705bdaea4383ae0bf3f354f11d2a524004fcd1d43af4,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,344cujmc42BPS1apBCfZzvbrLPzPdvpbEM,0.14857358,BTC,2020-09-01,16:15:00,Hacker DB,Blockchain.info,['1HKoqHFMgtsZhGDXveVaAWJYEBgf1wpKBQ'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '344cujmc42BPS1apBCfZzvbrLPzPdvpbEM']",0.269862,0.2695509,0.0003111
62d8ec967db933daa6755c96bfa5e3d310d03d3cf9673a0d7019406f918250f3,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,0.00877695,BTC,2020-09-01,04:07:13,Hacker DB,Blockchain.info,['3EbWygteLRJ77obZKEVfY2d9hrR2k6iWWv'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '3FHvsTqmrSyKpD6Cx27uwTAHFenb5BwQjw']",0.71335401,0.71305521,0.0002988
62d8ec967db933daa6755c96bfa5e3d310d03d3cf9673a0d7019406f918250f3,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,3FHvsTqmrSyKpD6Cx27uwTAHFenb5BwQjw,0.70427826,BTC,2020-09-01,04:07:13,Hacker DB,Blockchain.info,['3EbWygteLRJ77obZKEVfY2d9hrR2k6iWWv'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '3FHvsTqmrSyKpD6Cx27uwTAHFenb5BwQjw']",0.71335401,0.71305521,0.0002988
60f4efba211177860b1ba842f44b1484231d96f56dbb012e3e407af2b2389ac0,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,0.0007923,BTC,2020-09-01,03:57:26,Hacker DB,Blockchain.info,['3KPamkU7QyjpjxpwfaRrWSpKbB2Q518h9V'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '3H6EhiYQ2rQVLJuPS3YFLat7yvsKUV8YsQ']",0.3149753,0.3146765,0.0002988
60f4efba211177860b1ba842f44b1484231d96f56dbb012e3e407af2b2389ac0,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,3H6EhiYQ2rQVLJuPS3YFLat7yvsKUV8YsQ,0.3138842,BTC,2020-09-01,03:57:26,Hacker DB,Blockchain.info,['3KPamkU7QyjpjxpwfaRrWSpKbB2Q518h9V'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '3H6EhiYQ2rQVLJuPS3YFLat7yvsKUV8YsQ']",0.3149753,0.3146765,0.0002988
e936803a9e4cd172a2f8ffa066e6ce5ec2dbb9dbaad5cea63c40482df50cb207,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,0.0472,BTC,2020-08-31,22:13:08,Hacker DB,Blockchain.info,['1FsB3LVpGEGEzZviG2qWK3GTWMAFizeyUC'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '1JPzcGE3FpYUAf6zGMqJQyi27fPt4egKpr']",1.69293747,1.69273947,0.000198
e936803a9e4cd172a2f8ffa066e6ce5ec2dbb9dbaad5cea63c40482df50cb207,19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,1JPzcGE3FpYUAf6zGMqJQyi27fPt4egKpr,1.64553947,BTC,2020-08-31,22:13:08,Hacker DB,Blockchain.info,['1FsB3LVpGEGEzZviG2qWK3GTWMAFizeyUC'],"['19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms', '1JPzcGE3FpYUAf6zGMqJQyi27fPt4egKpr']",1.69293747,1.69273947,0.000198
