sending_wallet,receiving_wallet,transaction_amount,coin_type,date_sent,time_sent,sending_wallet_source,receiving_wallet_source
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,3FXA3M615dc6z9cF5U9GeUTbFjk8W2MacX,5.33248675,BTC,2018-09-25,17:31:22,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,bc1qwkq697zy697fcrhdj6xm6wwumn8hhfv0z6dhyj,0.00210486,BTC,2018-09-23,00:51:02,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,0.045,BTC,2018-09-23,00:51:02,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,1BEoNYWCJbxdCA4CnPLHU6GqPLweJsDw6,0.01635509,BTC,2018-09-21,17:21:16,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,0.045,BTC,2018-09-21,17:21:16,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,0.046799,BTC,2018-09-21,04:39:07,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,33a5BfYLhfqRYMdbdjLmKpeQDKmawbZFDX,0.0158966,BTC,2018-09-21,04:39:07,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,1C5pBhiSvbGDA19rQP8bSYWYpAokb2L9bZ,0.01296485,BTC,2018-09-20,14:34:45,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,0.04938631,BTC,2018-09-20,14:34:45,Hacker DB,Blockchain.info
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,0.0481,BTC,2018-09-19,22:24:06,Hacker DB,Blockchain.info
